,country,age_group,purpose,main_activity,info_source,tour_arrangement,package_accomodation,package_food,package_transport_tz,package_insurance,payment_mode,first_trip_tz,total_cost
2575,ITALY,25-44,Leisure and Holidays,Beach tourism,"Radio, TV, Web",Package Tour,Yes,Yes,Yes,No,Cash,Yes,12481315.0
2576,ITALY,25-44,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,No,Yes,No,Cash,Yes,22829459.8
2577,FRANCE,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,6646575.0
2578,IVORY COAST,45-64,Leisure and Holidays,Hunting tourism,"Travel, agent, tour operator",Package Tour,Yes,No,Yes,Yes,Credit Card,Yes,7210125.0
2579,ITALY,25-44,Leisure and Holidays,Beach tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,11271000.0
2580,ZAMBIA,25-44,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,125000.0
2581,ZIMBABWE,45-64,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,205000.0
2582,ITALY,25-44,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Credit Card,Yes,11867700.0
2583,ITALY,25-44,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,No,Cash,Yes,42775102.5
2584,ZIMBABWE,45-64,Other,Hunting tourism,others,Independent,No,No,No,No,Cash,Yes,125000.0
2585,CANADA,25-44,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,7044375.0
2586,ITALY,45-64,Leisure and Holidays,Beach tourism,others,Independent,Yes,Yes,Yes,Yes,Cash,Yes,881790.0
2587,ZIMBABWE,25-44,Business,Mountain climbing,"Newspaper, magazines,brochures",Independent,No,No,No,No,Cash,Yes,1657500.0
2588,ITALY,45-64,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,17112030.0
2589,ZIMBABWE,45-64,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,200000.0
2590,UGANDA,25-44,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,8701875.0
2591,FRANCE,25-44,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Independent,No,No,No,No,Cash,Yes,2155863.5
2592,SPAIN,25-44,Leisure and Holidays,Wildlife tourism,others,Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,17735250.0
2593,ZAMBIA,25-44,Business,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,720000.0
2594,UNITED KINGDOM,25-44,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,5337150.0
2595,FRANCE,25-44,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,Yes,Cash,Yes,24395297.5
2596,ITALY,25-44,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,7458750.0
2597,ZIMBABWE,25-44,Business,Hunting tourism,others,Independent,No,No,No,No,Cash,Yes,248625.0
2598,SPAIN,25-44,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Independent,No,No,No,No,Credit Card,Yes,1588531.0
2599,FRANCE,65+,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,No,23601032.0
2600,SWIZERLAND,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,No,No,No,Cash,Yes,13091680.0
2601,DENMARK,1-24,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Independent,No,No,No,No,Cash,Yes,1176825.0
2602,UNITED STATES OF AMERICA,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,3149250.0
2603,BRAZIL,25-44,Leisure and Holidays,Wildlife tourism,others,Package Tour,Yes,Yes,Yes,No,Cash,Yes,4395690.0
2604,UNITED STATES OF AMERICA,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Credit Card,Yes,2320500.0
2605,INDIA,25-44,Meetings and Conference,Wildlife tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,Cash,Yes,6630000.0
2606,UNITED STATES OF AMERICA,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Credit Card,Yes,20718750.0
2607,UNITED STATES OF AMERICA,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Credit Card,Yes,29006250.0
2608,ITALY,25-44,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Credit Card,Yes,11934000.0
2609,ITALY,45-64,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,5055375.0
2610,UNITED KINGDOM,25-44,Business,Wildlife tourism,others,Independent,No,No,No,No,Credit Card,No,1508325.0
2611,KENYA,25-44,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,910000.0
2612,GERMANY,25-44,Leisure and Holidays,Beach tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,33978750.0
2613,UNITED KINGDOM,45-64,Leisure and Holidays,Conference tourism,"Newspaper, magazines,brochures",Package Tour,Yes,Yes,Yes,No,Cash,Yes,14253700.5
2614,GERMANY,45-64,Visiting Friends and Relatives,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,453866.0
2615,ITALY,25-44,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,No,Cash,Yes,5221125.0
2616,SOUTH AFRICA,25-44,Leisure and Holidays,Beach tourism,others,Package Tour,Yes,Yes,Yes,No,Cash,No,62653500.0
2617,AUSTRALIA,25-44,Leisure and Holidays,business,"Radio, TV, Web",Independent,No,No,No,No,Credit Card,Yes,1740375.0
2618,FRANCE,25-44,Leisure and Holidays,Cultural tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,No,Cash,Yes,4084794.0
2619,AUSTRIA,25-44,Visiting Friends and Relatives,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,2000000.0
2620,UNITED STATES OF AMERICA,45-64,Business,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,Cash,No,3828825.0
2621,UNITED STATES OF AMERICA,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,43592250.0
2622,ITALY,25-44,Leisure and Holidays,Cultural tourism,"Radio, TV, Web",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,12845625.0
2623,ITALY,25-44,Leisure and Holidays,Beach tourism,"Newspaper, magazines,brochures",Independent,Yes,Yes,Yes,No,Cash,No,1588531.0
2624,ITALY,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,33813017.0
2625,UNITED STATES OF AMERICA,65+,Leisure and Holidays,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,Credit Card,No,1657500.0
2626,SOUTH AFRICA,25-44,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,No,Yes,No,Cash,Yes,52377000.0
2627,SOUTH AFRICA,25-44,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Credit Card,No,32703560.0
2628,ITALY,25-44,Leisure and Holidays,business,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,10608000.0
2629,PAKISTAN,45-64,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,2486250.0
2630,SOUTH AFRICA,45-64,Leisure and Holidays,Beach tourism,others,Package Tour,Yes,Yes,Yes,No,Cash,Yes,73261500.0
2631,UNITED KINGDOM,25-44,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,4044300.0
2632,SOUTH AFRICA,45-64,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,No,Cash,Yes,3093580.0
2633,SOUTH AFRICA,45-64,Leisure and Holidays,Beach tourism,"Newspaper, magazines,brochures",Package Tour,Yes,Yes,Yes,No,Cash,Yes,43675125.0
2634,UNITED STATES OF AMERICA,65+,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,25194000.0
2635,KENYA,25-44,Visiting Friends and Relatives,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,59500.0
2636,ITALY,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,Yes,Cash,Yes,15249000.0
2637,SOUTH AFRICA,45-64,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,No,23290238.0
2638,ZAMBIA,25-44,Other,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,152600.0
2639,SOUTH AFRICA,45-64,Leisure and Holidays,Beach tourism,others,Package Tour,Yes,Yes,Yes,No,Cash,Yes,4072509.8
2640,ZAMBIA,25-44,Business,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,1491750.0
2641,ZAMBIA,65+,Business,Hunting tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,No,Cash,Yes,1823250.0
2642,ZAMBIA,25-44,Business,Wildlife tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,Cash,No,1657500.0
2643,SOUTH AFRICA,65+,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Other,Yes,7490869.8
2644,ITALY,1-24,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,6581057.0
2645,NAMIBIA,45-64,Other,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,250000.0
2646,RWANDA,25-44,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,122000.0
2647,ZIMBABWE,25-44,Business,Beach tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,Cash,Yes,281775.0
2648,KENYA,25-44,Visiting Friends and Relatives,Hunting tourism,others,Independent,No,No,No,No,Cash,No,275495.22
2649,BURUNDI,45-64,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,54000.0
2650,RWANDA,25-44,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,219000.0
2651,ZIMBABWE,25-44,Business,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,Cash,No,1607775.0
2652,ZIMBABWE,25-44,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,200000.0
2653,ZIMBABWE,25-44,Leisure and Holidays,Beach tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,Cash,No,745875.0
2654,UGANDA,25-44,Business,Wildlife tourism,Trade fair,Independent,No,No,No,No,Cash,No,2320500.0
2655,UGANDA,25-44,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,355000.0
2656,LITHUANIA,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,497250.0
2657,ITALY,45-64,Leisure and Holidays,Beach tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,8058765.0
2658,ZIMBABWE,25-44,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,663000.0
2659,BURUNDI,1-24,Visiting Friends and Relatives,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,50000.0
2660,UGANDA,1-24,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,1200000.0
2662,ZIMBABWE,45-64,Business,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,248625.0
2663,ZAMBIA,25-44,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,704437.5
2664,FRANCE,25-44,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,No,Yes,Yes,Cash,Yes,27058687.5
2665,FRANCE,25-44,Leisure and Holidays,Wildlife tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,Cash,Yes,1657500.0
2666,UNITED STATES OF AMERICA,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,72833280.0
2667,UNITED STATES OF AMERICA,1-24,Leisure and Holidays,Wildlife tourism,others,Package Tour,Yes,Yes,Yes,Yes,Cash,No,8287500.0
2668,CHINA,25-44,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Independent,No,No,No,No,Cash,Yes,6630000.0
2669,ZIMBABWE,25-44,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,50724.0
2670,SPAIN,25-44,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Independent,No,No,No,No,Credit Card,Yes,500000.0
2671,ITALY,25-44,Leisure and Holidays,Beach tourism,others,Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,8802982.5
2672,GERMANY,25-44,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,6807990.0
2673,ZAMBIA,45-64,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,195000.0
2674,UNITED STATES OF AMERICA,25-44,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,2486250.0
2675,KENYA,45-64,Leisure and Holidays,business,"Friends, relatives",Independent,No,No,No,No,Credit Card,Yes,6630000.0
2676,KENYA,45-64,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,5386875.0
2677,ITALY,25-44,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,12265500.0
2678,FRANCE,45-64,Leisure and Holidays,Wildlife tourism,"Newspaper, magazines,brochures",Package Tour,Yes,Yes,Yes,No,Cash,Yes,10110750.0
2679,DENMARK,25-44,Leisure and Holidays,Beach tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,Cash,Yes,3397875.0
2680,UNITED STATES OF AMERICA,25-44,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Credit Card,Yes,2154750.0
2681,CANADA,65+,Leisure and Holidays,Wildlife tourism,Tanzania Mission Abroad,Package Tour,Yes,Yes,Yes,No,Credit Card,Yes,15746250.0
2682,ITALY,25-44,Leisure and Holidays,Wildlife tourism,"Radio, TV, Web",Package Tour,Yes,Yes,Yes,No,Cash,Yes,9945000.0
2683,AUSTRALIA,1-24,Volunteering,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,2071875.0
2684,AUSTRALIA,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,2362935.0
2685,IRELAND,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,4992526.0
2686,CANADA,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,12190912.5
2687,UNITED STATES OF AMERICA,65+,Meetings and Conference,Mountain climbing,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,No,5469750.0
2688,UNITED KINGDOM,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,5154825.0
2689,KENYA,45-64,Meetings and Conference,Mountain climbing,others,Independent,No,No,No,No,Cash,No,828750.0
2690,SPAIN,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,No,Yes,Yes,Cash,Yes,6581057.0
2691,UNITED KINGDOM,1-24,Leisure and Holidays,Beach tourism,others,Independent,No,No,No,No,Cash,Yes,114500.0
2692,AUSTRALIA,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,No,Yes,No,Cash,Yes,23370750.0
2693,SPAIN,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,15885310.0
2694,UNITED KINGDOM,25-44,Leisure and Holidays,Conference tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,No,Cash,No,9047259.0
2695,UNITED STATES OF AMERICA,25-44,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,994500.0
2696,UNITED KINGDOM,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,8900775.0
2697,UNITED STATES OF AMERICA,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,3978000.0
2698,MOZAMBIQUE,25-44,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Credit Card,No,3513900.0
2699,SOUTH AFRICA,45-64,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Credit Card,Yes,883880.0
2700,UNITED STATES OF AMERICA,45-64,Meetings and Conference,Mountain climbing,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,5884125.0
2701,FRANCE,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,Cash,Yes,2013862.5
2702,ITALY,45-64,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,10552384.5
2703,KENYA,45-64,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,53500.0
2704,UNITED KINGDOM,1-24,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,994500.0
2705,SOUTH AFRICA,25-44,Leisure and Holidays,Beach tourism,others,Independent,No,No,No,No,Cash,Yes,4839900.0
2706,FRANCE,25-44,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,5469750.0
2707,FRANCE,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,1134665.0
2708,SPAIN,25-44,Leisure and Holidays,Wildlife tourism,"Newspaper, magazines,brochures",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,994500.0
2709,ITALY,25-44,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,8169588.0
2710,SPAIN,1-24,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,828750.0
2711,ZIMBABWE,25-44,Business,Mountain climbing,"Travel, agent, tour operator",Independent,No,No,No,No,Cash,No,497250.0
2712,ZIMBABWE,25-44,Business,Wildlife tourism,others,Independent,No,No,No,No,Cash,Yes,497250.0
2713,FRANCE,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,43095000.0
2714,UNITED STATES OF AMERICA,25-44,Leisure and Holidays,Wildlife tourism,"Radio, TV, Web",Package Tour,Yes,Yes,Yes,No,Cash,No,13260000.0
2715,SPAIN,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,No,No,Yes,Cash,Yes,7375322.5
2716,ITALY,25-44,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,7774724.58
2717,SPAIN,25-44,Leisure and Holidays,Cultural tourism,others,Independent,No,No,No,No,Cash,Yes,3315000.0
2718,ZIMBABWE,45-64,Other,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,663200.0
2719,AUSTRALIA,25-44,Meetings and Conference,business,others,Independent,No,No,No,No,Cash,Yes,1657500.0
2720,GERMANY,45-64,Leisure and Holidays,business,others,Package Tour,No,Yes,Yes,No,Cash,Yes,3630928.0
2721,ZAMBIA,25-44,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,655000.0
2722,AUSTRALIA,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,21895575.0
2723,CANADA,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,1823250.0
2724,GERMANY,25-44,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,No,Cash,Yes,453866.0
2725,FRANCE,25-44,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,3315000.0
2726,OMAN,45-64,Leisure and Holidays,Mountain climbing,"Friends, relatives",Independent,No,No,No,No,Cash,No,2569125.0
2727,CHINA,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,No,19475625.0
2728,UNITED KINGDOM,1-24,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,5304000.0
2729,ITALY,25-44,Leisure and Holidays,business,others,Package Tour,Yes,Yes,Yes,No,Cash,Yes,2496263.0
2730,MALAYSIA,45-64,Leisure and Holidays,Conference tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,No,Cash,Yes,4011150.0
2731,ITALY,25-44,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,907732.0
2732,MALAYSIA,25-44,Leisure and Holidays,Conference tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,No,Cash,Yes,4092367.5
2733,KENYA,25-44,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,3315000.0
2734,SINGAPORE,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Travellers Cheque,Yes,1657500.0
2735,UNITED STATES OF AMERICA,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,3480750.0
2736,HUNGARY,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,12845625.0
2737,KENYA,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,Cash,Yes,953062.5
2738,ITALY,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,1917583.85
2739,GERMANY,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,7060950.0
2740,GERMANY,45-64,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,4538660.0
2741,GERMANY,45-64,Leisure and Holidays,Wildlife tourism,"Newspaper, magazines,brochures",Package Tour,Yes,Yes,Yes,No,Cash,Yes,9862125.0
2742,SPAIN,25-44,Visiting Friends and Relatives,Hunting tourism,Trade fair,Independent,No,No,No,No,Cash,No,828750.0
2743,UNITED STATES OF AMERICA,45-64,Meetings and Conference,Mountain climbing,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,165750.0
2744,ZIMBABWE,25-44,Business,Beach tourism,others,Independent,No,No,No,No,Cash,Yes,375760.0
2745,DRC,45-64,Visiting Friends and Relatives,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,262000.0
2746,ZAMBIA,25-44,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,596000.0
2747,DRC,25-44,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,425760.0
2748,AUSTRALIA,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Credit Card,Yes,203872.5
2749,UGANDA,25-44,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,254024.0
2750,SOUTH AFRICA,25-44,Visiting Friends and Relatives,Hunting tourism,"Radio, TV, Web",Independent,No,No,No,No,Cash,No,4661400.0
2751,ZAMBIA,25-44,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,596000.0
2752,AUSTRALIA,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Credit Card,Yes,1077375.0
2753,SWEDEN,45-64,Visiting Friends and Relatives,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,500000.0
2754,ZIMBABWE,25-44,Other,Hunting tourism,"Radio, TV, Web",Independent,No,No,No,No,Cash,Yes,200000.0
2755,AUSTRALIA,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Credit Card,Yes,1657500.0
2756,SOUTH AFRICA,45-64,Business,Wildlife tourism,others,Package Tour,Yes,Yes,Yes,No,Credit Card,Yes,2096737.5
2757,SOUTH AFRICA,25-44,Business,Wildlife tourism,"Radio, TV, Web",Independent,No,No,No,No,Cash,No,1991535.0
2758,FRANCE,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Credit Card,Yes,42266250.0
2759,UNITED KINGDOM,45-64,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,No,Cash,Yes,17403750.0
2760,UNITED KINGDOM,1-24,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,853515.0
2761,OMAN,1-24,Visiting Friends and Relatives,Cultural tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,Cash,Yes,157770.4
2762,RUSSIA,45-64,Leisure and Holidays,Beach tourism,"Radio, TV, Web",Independent,No,No,No,No,Cash,Yes,4077450.0
2763,FRANCE,45-64,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,10608000.0
2764,SPAIN,25-44,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,16429949.2
2765,ZIMBABWE,45-64,Leisure and Holidays,Beach tourism,"Radio, TV, Web",Independent,No,No,No,No,Credit Card,Yes,6795750.0
2766,GERMANY,45-64,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,3978000.0
2767,UNITED STATES OF AMERICA,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,7790250.0
